untyCntrctNo,bsnsDivNm,dcsnCntrctNo,cntrctRefNo,cntrctNm,cmmnCntrctYn,lngtrmCtnuDivNm,cntrctCnclsDate,cntrctPrd,baseLawNm,totCntrctAmt,thtmCntrctAmt,grntymnyRate,cntrctInfoUrl,payDivNm,reqNo,ntceNo,cntrctInsttCd,cntrctInsttNm,cntrctInsttJrsdctnDivNm,cntrctInsttChrgDeptNm,cntrctInsttOfclNm,cntrctInsttOfclTelNo,cntrctInsttOfclFaxNo,dminsttList,corpList,cntrctDtlInfoUrl,crdtrNm,baseDtls,cntrctCnclsMthdNm,rgstDt,chgDt,dfrcmpnstRt,pubPrcrmntClsfcNo,pubPrcrmntClsfcNm,pubPrcrmntMidClsfcNm,pubPrcrmntLrgClsfcNm,cntrctDate,infoBizYn,_source_endpoint,_business_type,dminsttNm,cntrctAmt
R26TE14571591,물품,R26TA0182612400,R26TA0182612400,서구보훈회관 보훈북카페 가구 구입,N,신규,2026-05-04,,지방계약법 (제25조제1항5호나목),0,10400000,5,http://www.g2b.go.kr,직불,,,3260000,부산광역시 서구,지방자치단체,서구청 재무과,김우진,051-240-4145,051-240-4149,[1^3260000^부산광역시 서구^지방자치단체^서구청 재무과^김우진^0512404145],[1^주계약업체^단독^주식회사 한디자인그룹^윤경혜^대한민국^100^주식회사 한디자인그룹^^6038153931],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01826124&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시 서구청장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 08:25:31,,0.08,,,,,2026-05-04,N,getCntrctInfoListThng,물품,부산광역시 서구,10400000
R26TE14571783,물품,,R26TA0180330000,이산화탄소배양기 1식 구매(설치),N,신규,,계약후 90일,국가계약법 (제26조제1항5호가2목),0,11500000,10,http://www.g2b.go.kr,직불,,,Z018263,양산부산대학교병원,기타공공기관,,심혜빈,055-360-1151,055-360-1159,[1^Z018263^양산부산대학교병원^기타공공기관^^심혜빈^0553601151],[1^주계약업체^단독^블루메디케어^이주녕^대한민국^100^블루메디케어^^5840400898],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01803300&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,양산부산대학교병원장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 08:49:15,,0.075,,,,,2026-05-11,N,getCntrctInfoListThng,물품,양산부산대학교병원,11500000
R26TE14571803,물품,,R26TA0182812200,2026년 부산경남본부 관내 교면재포장공사 아스콘 구매(동부권),N,신규,,2026/12/31,국가계약법 (제21조제1항8호),0,178400000,10,http://www.g2b.go.kr,대지급,R26DC00187023,R26BK01474191,1230155,조달청 경남지방조달청,국가기관,,박수경,070-4056-6751,050-5489-2413,[1^Z000591^한국도로공사 부산경남본부^공기업^재무팀^김고운^0557116420],[1^주계약업체^단독^부경아스콘사업협동조합^문호욱^대한민국^100^부경아스콘사업협동조합^^6068209222],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01828122&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,대한민국정부경남지방조달청장,중소기업청장이 지정.고시한 제품,제한경쟁,2026-05-06 08:51:08,,0.075,,,,,2026-05-07,N,getCntrctInfoListThng,물품,한국도로공사 부산경남본부,178400000
R26TE14571821,물품,,R26TA0182812400,국도58호선 김해 생림 봉림 등 3개소 포장도 보수공사-개질아스콘,N,신규,,계약 후 90일 이내,국가계약법 (제21조제1항8호),0,238977000,10,http://www.g2b.go.kr,직불,R26DC00185590,R26BK01474227,1230155,조달청 경남지방조달청,국가기관,,박수경,070-4056-6751,050-5489-2413,[1^1613800^국토교통부 부산지방국토관리청 김해국토관리사무소^국가기관^운영지원과^김동현^0553406615],[1^주계약업체^단독^부울경아스콘사업협동조합^백승만^대한민국^100^부울경아스콘사업협동조합^^6138212254],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01828124&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,대한민국정부경남지방조달청장,중소기업청장이 지정.고시한 제품,제한경쟁,2026-05-06 08:52:08,,0.075,,,,,2026-05-07,N,getCntrctInfoListThng,물품,국토교통부 부산지방국토관리청 김해국토관리사무소,238977000
R26TE14571840,물품,,R26TA0182811500,2026년 부산경남본부 관내 교면재포장공사 아스콘 구매(중부권),N,신규,,2026/12/31,국가계약법 (제21조제1항8호),0,155976000,10,http://www.g2b.go.kr,대지급,R26DC00187026,R26BK01474195,1230155,조달청 경남지방조달청,국가기관,,박수경,070-4056-6751,050-5489-2413,[1^Z000591^한국도로공사 부산경남본부^공기업^재무팀^김고운^0557116420],[1^주계약업체^단독^부산.울산.경남아스콘 공업협동조합^정영용^대한민국^100^부산.울산.경남아스콘 공업협동조합^^6098204473],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01828115&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,대한민국정부경남지방조달청장,중소기업청장이 지정.고시한 제품,제한경쟁,2026-05-06 08:54:22,,0.075,,,,,2026-05-07,N,getCntrctInfoListThng,물품,한국도로공사 부산경남본부,155976000
R26TE14572010,물품,,R26TA0182403400,차체팀 30tom 천장크레인 권상장치 등 수선,N,신규,,,지방계약법 (제25조제1항5호나목),0,9460000,5,http://www.g2b.go.kr,직불,,,B551542,부산교통공사,지방공기업,회계자산처,유다예,,,[1^B551542^부산교통공사^지방공기업^회계자산처^유다예^],[1^주계약업체^단독^토성산업^양정희^대한민국^100^토성산업^^8973901174],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01824034&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산교통공사사장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 09:03:59,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산교통공사,9460000
R26TE14572032,물품,R26TA0182535800,R26TA0182535800,물품 구매요청[거제동 1564 일원 횡단보도 설치],N,신규,2026-05-04,,지방계약법 (제25조제1항5호나목),0,1901000,5,http://www.g2b.go.kr,직불,,,3370000,부산광역시 연제구,지방자치단체,재무과,양수현,051-665-4144,051-665-4149,[1^3370000^부산광역시 연제구^지방자치단체^재무과^양수현^0516654144],[1^주계약업체^단독^(주)아트플러스^임경태^대한민국^100^(주)아트플러스^^3098107419],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01825358&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,연제구청장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 09:04:57,,0.08,,,,,2026-05-04,N,getCntrctInfoListThng,물품,부산광역시 연제구,1901000
R26TE14572034,물품,,R26TA0182403400,차체팀 30tom 천장크레인 권상장치 등 수선,N,신규,,,지방계약법 (제25조제1항5호나목),0,9460000,5,http://www.g2b.go.kr,직불,,,B551542,부산교통공사,지방공기업,회계자산처,유다예,,,[1^B551542^부산교통공사^지방공기업^회계자산처^유다예^],[1^주계약업체^단독^토성산업^양정희^대한민국^100^토성산업^^8973901174],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01824034&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산교통공사사장,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 09:05:02,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산교통공사,9460000
R26TE14572321,물품,,R26TA0182841200,2026년 수영고가교 내진성능 보강공사 관급자재(교량받침) 구매,N,신규,,,지방계약법 (제12조),0,386897010,5,http://www.g2b.go.kr,직불,,R26BK01459345,6260000,부산광역시,지방자치단체,회계재산담당관,김주홍,051-888-2244,,[1^6260409^부산광역시 건설안전시험사업소^지방자치단체^관리팀^조윤정^],[1^주계약업체^단독^포인텍이앤씨 주식회사^김선엽^대한민국^100^포인텍이앤씨 주식회사^^2158779094],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01828412&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시장,경쟁은 입찰의 방법으로 행함,일반경쟁,2026-05-06 09:15:31,,0.08,,,,,2026-05-06,N,getCntrctInfoListThng,물품,부산광역시 건설안전시험사업소,386897010
R26TE14572354,물품,,R26TA0182856100,덕산정수장 비상발전기 소모품 교체,N,신규,,,지방계약법 (제25조제1항5호나목),0,6800000,5,http://www.g2b.go.kr,직불,,,6260103,부산광역시 상수도사업본부 덕산정수사업소,지방자치단체,덕산정수사업소,이선우,051-669-4901,,[1^6260103^부산광역시 상수도사업본부 덕산정수사업소^지방자치단체^덕산정수사업소^이선우^0516694901],[1^주계약업체^단독^(주)대흥기전^서정기^대한민국^100^(주)대흥기전^^6068158629],https://www.g2b.go.kr/link/FIUA027_01/single/?ctrtNo=R26TA01828561&ctrtChgOrd=00&prcmBsneSeCd=조070001&srchName=ctrtCrst&openUrl=Y,부산광역시 상수도사업본부 덕산정수사업소,추정가격 2천만원 이하 물품 또는 용역,수의계약,2026-05-06 09:16:39,,0.08,,,,,2026-05-07,N,getCntrctInfoListThng,물품,부산광역시 상수도사업본부 덕산정수사업소,6800000
